yearID,franchid_1,franchid_2,abs_difference,W1,W2,L1,L2
1872,NNA,BNA,5,34,39,20,8
1872,NNA,CFC,28,34,6,20,16
1872,NNA,MAN,29,34,5,20,19
1872,NNA,NNA,0,34,34,20,20
1872,NNA,PNA,4,34,30,20,14
1872,NNA,TRO,19,34,15,20,10
1872,NNA,OLY,32,34,2,20,7
1872,NNA,NAT,34,34,0,20,11
1872,PNA,BLC,5,30,35,14,19
1872,PNA,ECK,27,30,3,14,26
1872,PNA,BRA,21,30,9,14,28
1872,PNA,BNA,9,30,39,14,8
1872,PNA,CFC,24,30,6,14,16
1872,PNA,MAN,25,30,5,14,19
1872,PNA,NNA,4,30,34,14,20
1872,PNA,PNA,0,30,30,14,14
1872,PNA,TRO,15,30,15,14,10
1872,PNA,OLY,28,30,2,14,7
1872,PNA,NAT,30,30,0,14,11
1872,TRO,BLC,20,15,35,10,19
1872,TRO,ECK,12,15,3,10,26
1872,TRO,BRA,6,15,9,10,28
1872,TRO,BNA,24,15,39,10,8
1872,TRO,CFC,9,15,6,10,16
1872,TRO,MAN,10,15,5,10,19
1872,TRO,NNA,19,15,34,10,20
1872,TRO,PNA,15,15,30,10,14
1872,TRO,TRO,0,15,15,10,10
1872,TRO,OLY,13,15,2,10,7
1872,TRO,NAT,15,15,0,10,11
1872,OLY,BLC,33,2,35,7,19
1872,OLY,ECK,1,2,3,7,26
1872,OLY,BRA,7,2,9,7,28
1872,OLY,BNA,37,2,39,7,8
1872,OLY,CFC,4,2,6,7,16
1872,OLY,MAN,3,2,5,7,19
1872,OLY,NNA,32,2,34,7,20
1872,OLY,PNA,28,2,30,7,14
1872,OLY,TRO,13,2,15,7,10
1872,OLY,OLY,0,2,2,7,7
1872,OLY,NAT,2,2,0,7,11
1872,NAT,BLC,35,0,35,11,19
1872,NAT,ECK,3,0,3,11,26
1872,NAT,BRA,9,0,9,11,28
1872,NAT,BNA,39,0,39,11,8
1872,NAT,CFC,6,0,6,11,16
1872,NAT,MAN,5,0,5,11,19
1872,NAT,NNA,34,0,34,11,20
1872,NAT,PNA,30,0,30,11,14
1872,NAT,TRO,15,0,15,11,10
1872,NAT,OLY,2,0,2,11,7
1872,NAT,NAT,0,0,0,11,11
1873,BLC,BLC,0,34,34,22,22
1873,BLC,MAR,34,34,0,22,6
1873,BLC,BRA,17,34,17,22,37
1873,BLC,BNA,9,34,43,22,16
1873,BLC,RES,32,34,2,22,21
1873,BLC,NNA,5,34,29,22,24
1873,BLC,PNA,6,34,28,22,23
